district_name,real_estate_area,real_estate_age,total_rooms,price,price_per_meter,real_estate_agencey,floor,elevator,parking,warehouse,units_per_floor,document,building_direction,unit_status,facilities
شهرک غرب,,۱۴۰۲,,۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳۷٬۵۰۰٬۰۰۰ تومان,,,,True,True,,,,,
طرشت,۹۱,۱۴۰۲,۲,۹٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۱۰۵٬۴۹۵٬۰۰۰ تومان,فرتاک,۳,True,True,True,,,,,
شهرک غرب,۸۷,۱۳۹۴,۲,۱۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۶۰٬۹۲۰٬۰۰۰ تومان,آلما پلاس,۲ از ۵,True,True,True,۲,تک‌برگ,جنوبی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش شوفاژ"
شهرک غرب,۱۴۰,۱۳۹۰,۳,۲۱٬۴۹۰٬۰۰۰٬۰۰۰ تومان,۱۵۳٬۵۰۰٬۰۰۰ تومان,آلما پلاس,۴ از ۵,True,True,True,۱,تک‌برگ,جنوبی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش شوفاژ"
دریاچه شهدای خلیج فارس,۱۸۰,۱۴۰۲,۳,۳٬۳۷۵٬۰۰۰٬۰۰۰ تومان,۱۸٬۷۵۰٬۰۰۰ تومان,,۳۰+ از بیشتر از ۳۰,True,True,True,۶,,,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
جنت‌آباد جنوبی,۲۰۵,۱۴۰۲,۳,۲۸٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۳۶٬۵۸۵٬۰۰۰ تومان,کارگزاری املاک مروارید,۵,True,True,True,,,,,
سعادت‌آباد,۲۵۰,۱۴۰۲,۳,۵۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۰۰٬۰۰۰٬۰۰۰ تومان,کارگزاری املاک مروارید,۲ از ۱۰,True,True,True,۳,,,,"آسانسور,پارکینگ,انباری,بالکن,سرمایش فن کوئل,گرمایش فن کوئل"
ستارخان,۷۵,۱۳۸۶,۱,۵٬۲۵۰٬۰۰۰٬۰۰۰ تومان,۷۰٬۰۰۰٬۰۰۰ تومان,آریا,۱ از ۵,,,True,۲,تک‌برگ,جنوبی,,"آسانسور ندارد,پارکینگ ندارد,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
شهرک غرب,۱۱۶,۱۳۹۸,۲,۲۴٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۲۱۳٬۷۹۳٬۰۰۰ تومان,آلما پلاس,۲ از ۶,True,True,True,۲,تک‌برگ,شمالی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
نارمک,۷۲,۱۳۸۵,۲,۶٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۸۶٬۱۱۱٬۰۰۰ تومان,اوات,۱ از ۴,,,True,۱,تک‌برگ,شمالی,بازسازی شده,"آسانسور ندارد,پارکینگ ندارد,انباری,بالکن,جنس کف پارکت لمینت,سرویس بهداشتی فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
مرزداران,۱۲۰,۱۳۹۰,۳,۱۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۱۶٬۶۶۷٬۰۰۰ تومان,املاک آرمین,۴ از ۵,True,True,True,۲,تک‌برگ,شمالی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
چیتگر,۷۵,۱۴۰۲,۲,۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۳٬۳۳۳٬۰۰۰ تومان,,۱۰ از ۲۰,True,True,True,۸,تک‌برگ,شمالی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
سبلان,۴۴,۱۴۰۱,۱,۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۶۸٬۱۸۲٬۰۰۰ تومان,گروه بزرگ کوچ,۳ از ۴,True,True,True,۱,تک‌برگ,,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
سازمان برنامه,۶۳,۱۳۸۵,۲,۵٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۹۰٬۴۷۶٬۰۰۰ تومان,گروه مشاورین واملاک بزرگ ارکان,۲,,True,True,,,,بازسازی شده,"آسانسور ندارد,پارکینگ,انباری"
پاسداران,,,,۱۳۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳۰۰٬۰۰۰٬۰۰۰ تومان,شایگان,,,,,,,,,
اباذر,۸۴,۱۳۹۰,۲,۹٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۱۱۴٬۲۸۶٬۰۰۰ تومان,صدرا,۲,True,True,True,,,,,
میرداماد,۱۴۲,۱۴۰۱,۳,۲۴٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۷۲٬۵۳۵٬۰۰۰ تومان,,۲,True,True,True,,,,,
شهران جنوبی,۶۰,۱۳۹۰,۱,۵٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۸۵٬۰۰۰٬۰۰۰ تومان,فرنام,۲ از ۵,True,True,True,۴,تک‌برگ,جنوبی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
چیتگر,۱۲۰,۱۴۰۲,۳,۲٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۱۷٬۵۰۰٬۰۰۰ تومان,,۱۰ از ۱۸,True,True,True,۸,تک‌برگ,جنوبی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
تهران‌سر,۱۱۵,۱۴۰۲,۳,۸٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۶۹٬۵۶۵٬۰۰۰ تومان,,۱ از ۵,True,True,True,۲,,جنوبی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
صادقیه,۶۰,۱۳۸۹,۱,۲٬۳۵۰٬۰۰۰٬۰۰۰ تومان,۳۹٬۱۶۷٬۰۰۰ تومان,,۳ از ۴,True,,True,۸,تک‌برگ,,,"آسانسور,پارکینگ ندارد,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی,سرمایش کولر آبی,گرمایش بخاری"
