district_name,real_estate_type,real_estate_area,total_rooms,number_of_parking,real_estate_age,price,facilities,floor
شهران,آپارتمان,86,2,1,8,8800000000,"آسانسور,انباری",2
باغ فیض,آپارتمان,87,2,1,6,8200000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,اعلام حریق,اطفا حریق,لابی من,پارکینگ مهمان,آلاچیق",2
سعادت آباد,آپارتمان,114,2,1,9,16750000000,"آسانسور,انباری,بالکن",2
شهران,آپارتمان,70,2,1,11,7450000000,"آسانسور,انباری,بالکن",2
اباذر,آپارتمان,70,2,1,13,6800000000,"آسانسور,انباری,بالکن",2
زعفرانیه,آپارتمان,205,3,1,15,59000000000,,3
هفت چنار,آپارتمان,68,2,1,16,3450000000,"آسانسور,انباری",2
هاشمی,آپارتمان,57,1,0,16,3300000000,"انباری,بالکن",1
آذربایجان,آپارتمان,63,2,1,7,4200000000,"آسانسور,انباری,بالکن",2
نیاوران,آپارتمان,190,3,1,17,22000000000,"آسانسور,انباری,بالکن,سرایداری,اتاق مستر",3
شهرزیبا,آپارتمان,62,1,1,9,5700000000,"آسانسور,انباری,بالکن",1
الهیه,آپارتمان,170,3,1,22,28000000000,"آسانسور,انباری,بالکن,اتاق مستر",3
کارون,آپارتمان,55,2,1,20,3100000000,"انباری,بالکن",2
شهرک غرب,آپارتمان,160,3,2,1,28500000000,"آسانسور,انباری,بالکن,سرایداری,سالن اجتماعات,لابی,اعلام حریق,اطفا حریق,لابی من,پارکینگ مهمان,نورپردازی",3
شهرزیبا,آپارتمان,82,2,1,5,7800000000,"آسانسور,انباری,بالکن",2
شهرزیبا,آپارتمان,103,2,1,20,9900000000,"آسانسور,انباری,بالکن",2
جنت آباد جنوبی,آپارتمان,100,2,2,1,11500000000,"آسانسور,انباری,بالکن",2
بلوار فردوس,آپارتمان,55,1,1,17,4300000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی",1
شهرزیبا,آپارتمان,100,2,1,10,9000000000,"آسانسور,انباری,بالکن",2
جنت آباد جنوبی,آپارتمان,84,2,1,9,8000000000,"آسانسور,انباری,بالکن",2
شهرزیبا,آپارتمان,106,2,1,18,11000000000,"آسانسور,انباری,بالکن",2
جنت آباد جنوبی,آپارتمان,82,2,1,8,8200000000,"آسانسور,انباری,بالکن",2
ستارخان,آپارتمان,120,3,1,6,14000000000,"آسانسور,انباری,بالکن",3
تجریش,آپارتمان,100,4,1,6,12000000000,"آسانسور,انباری,سرایداری,نگهبانی,لابی",4
ستارخان,آپارتمان,130,3,1,7,13000000000,"آسانسور,انباری,بالکن",3
فرمانیه,آپارتمان,220,2,2,1399,42000000000,"آسانسور,انباری,سرایداری,سالن اجتماعات",
اقدسیه,آپارتمان,75,2,1,2,13800000000,"آسانسور,انباری,سرایداری,لابی,روف گاردن",2
فرمانیه,آپارتمان,195,3,2,2,57000000000,"آسانسور,انباری,بالکن,سرایداری,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن,اعلام حریق,اطفا حریق,لابی من,نورپردازی,باشگاه",3
ستارخان,آپارتمان,176,3,2,0,19900000000,"آسانسور,انباری,بالکن,سرایداری,لابی,جکوزی,اطفا حریق,آبنما,لابی من,پارکینگ مهمان",3
رستم آباد و اختیاریه,آپارتمان,215,3,2,5,31000000000,"آسانسور,انباری,سرایداری,روف گاردن",3
قیطریه,آپارتمان,127,2,1,12,18000000000,"آسانسور,انباری,بالکن,سرایداری,لابی,استخر,سونا,جکوزی",2
جردن,آپارتمان,130,,0,,16000000000,,
